"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,0.9,,
"CZE","Czech Republic","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,3.12,,
"DNK","Denmark","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,1.78,,
"FIN","Finland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,1.73,,
"FRA","France","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,3.99,,
"DEU","Germany","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,2.37,,
"GRC","Greece","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,18.39,,
"HUN","Hungary","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,5.1,,
"ISL","Iceland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,1.18,,
"IRL","Ireland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,8.39,,
"ITA","Italy","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,6.94,,
"JPN","Japan","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,1.67,,
"KOR","Korea","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,0.01,,
"LUX","Luxembourg","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,1.78,,
"MEX","Mexico","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,0.08,,
"NLD","Netherlands","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,2.4,,
"NZL","New Zealand","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,0.75,,
"NOR","Norway","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,0.32,,
"POL","Poland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,3.77,,
"PRT","Portugal","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,9.11,,
"SVK","Slovak Republic","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,9.46,,
"ESP","Spain","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,12.96,,
"SWE","Sweden","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,1.37,,
"CHE","Switzerland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,1.46,,
"TUR","Turkey","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,2.37,,
"GBR","United Kingdom","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,2.77,,
"USA","United States","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,1.91,,
"BRA","Brazil","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,1.97,"E","Estimated value"
"CHL","Chile","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,1.59,"E","Estimated value"
"EST","Estonia","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,3.82,,
"ISR","Israel","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,0.79,,
"RUS","Russia","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,1.7,,
"SVN","Slovenia","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,5.15,,
"OECD","OECD - Total","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","units",,,2.79,,
"AUS","Australia","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,1.14,,
"AUT","Austria","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,1.24,,
"BEL","Belgium","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,4.02,,
"CAN","Canada","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,0.97,,
"CZE","Czech Republic","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,2.56,,
"DNK","Denmark","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,1.58,,
"FIN","Finland","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,2.07,,
"FRA","France","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,4.08,,
"DEU","Germany","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,2.55,,
"GRC","Greece","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,16.11,,
"HUN","Hungary","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,5.17,,
"ISL","Iceland","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,1.27,,
"IRL","Ireland","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,10.65,,
"ITA","Italy","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,6.53,,
"JPN","Japan","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,2.12,,
"KOR","Korea","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,0.02,,
"LUX","Luxembourg","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,1.65,,
"MEX","Mexico","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,0.07,,
"NLD","Netherlands","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,2.56,,
"NZL","New Zealand","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,0.76,,
"NOR","Norway","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,0.39,,
"POL","Poland","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,3.48,,
"PRT","Portugal","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,9.21,,
"SVK","Slovak Republic","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,9.49,,
"ESP","Spain","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,12.53,,
"SWE","Sweden","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,1.53,,
"CHE","Switzerland","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,1.28,,
"TUR","Turkey","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,1.79,,
"GBR","United Kingdom","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,3.27,,
"USA","United States","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,2.02,,
"BRA","Brazil","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,2.03,"E","Estimated value"
"CHL","Chile","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,1.65,"E","Estimated value"
"EST","Estonia","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,4.2,,
"ISR","Israel","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,0.85,,
"RUS","Russia","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,1.75,,
"SVN","Slovenia","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,4.89,,
"OECD","OECD - Total","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","units",,,2.79,,
"AUS","Australia","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,1.010517276,,
"AUT","Austria","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,1.134177698,,
"BEL","Belgium","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,3.713337319,,
"CAN","Canada","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,0.824315121,,
"CZE","Czech Republic","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,3.848495779,,
"DNK","Denmark","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,2.000832569,,
"FIN","Finland","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,1.374112987,,
"FRA","France","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,3.895667053,,
"DEU","Germany","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,2.167391179,,
"GRC","Greece","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,21.45538744,,
"HUN","Hungary","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,5.017594822,,
"ISL","Iceland","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,1.084049828,,
"IRL","Ireland","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,5.609297843,,
"ITA","Italy","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,7.504315573,,
"JPN","Japan","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,1.075640541,,
"KOR","Korea","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,0.006482082,,
"LUX","Luxembourg","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,1.943470073,,
"MEX","Mexico","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,0.086765421,,
"NLD","Netherlands","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,2.208210809,,
"NZL","New Zealand","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,0.734321524,,
"NOR","Norway","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,0.246741031,,
"POL","Poland","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,4.127639861,,
"PRT","Portugal","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,8.984723231,,
"SVK","Slovak Republic","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,9.436801229,,
"ESP","Spain","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,13.47287476,,
"SWE","Sweden","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,1.180842575,,
"CHE","Switzerland","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,1.668367616,,
"TUR","Turkey","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,3.686043148,,
"GBR","United Kingdom","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,2.212883879,,
"USA","United States","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,1.791424162,,
"BRA","Brazil","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,1.875869653,"E","Estimated value"
"CHL","Chile","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,1.496420206,"E","Estimated value"
"EST","Estonia","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,3.434804239,,
"ISR","Israel","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,0.726055894,,
"RUS","Russia","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,1.636982524,,
"SVN","Slovenia","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,5.456536043,,
"OECD","OECD - Total","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","units",,,2.796370965,,
"AUS","Australia","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,0.61,"E","Estimated value"
"AUT","Austria","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,0.73,"E","Estimated value"
"BEL","Belgium","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,2.28,"E","Estimated value"
"CAN","Canada","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,0.64,"E","Estimated value"
"CZE","Czech Republic","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,1.27,"E","Estimated value"
"DNK","Denmark","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,1.14,"E","Estimated value"
"FIN","Finland","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,0.93,"E","Estimated value"
"FRA","France","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,2.39,"E","Estimated value"
"DEU","Germany","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,1.1,"E","Estimated value"
"GRC","Greece","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,13.85,"E","Estimated value"
"HUN","Hungary","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,2.04,"E","Estimated value"
"ISL","Iceland","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,0.8,"E","Estimated value"
"IRL","Ireland","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,4.42,"E","Estimated value"
"ITA","Italy","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,4.23,"E","Estimated value"
"JPN","Japan","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,1.33,"E","Estimated value"
"KOR","Korea","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,0.01,"E","Estimated value"
"LUX","Luxembourg","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,1.1,"E","Estimated value"
"MEX","Mexico","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,0.09,"E","Estimated value"
"NLD","Netherlands","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,1.37,"E","Estimated value"
"NZL","New Zealand","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,0.51,"E","Estimated value"
"NOR","Norway","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,0.16,"E","Estimated value"
"POL","Poland","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,2.1,"E","Estimated value"
"PRT","Portugal","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,7.37,"E","Estimated value"
"SVK","Slovak Republic","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,4.82,"E","Estimated value"
"ESP","Spain","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,7.97,"E","Estimated value"
"SWE","Sweden","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,0.75,"E","Estimated value"
"CHE","Switzerland","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,1.04,"E","Estimated value"
"TUR","Turkey","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,2.53,"E","Estimated value"
"GBR","United Kingdom","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,1.1,"E","Estimated value"
"USA","United States","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,1.1,"E","Estimated value"
"BRA","Brazil","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,0.98,"E","Estimated value"
"CHL","Chile","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,1.08,"E","Estimated value"
"EST","Estonia","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,2.64,"E","Estimated value"
"ISR","Israel","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,0.54,"E","Estimated value"
"RUS","Russia","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,1.11,"E","Estimated value"
"SVN","Slovenia","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,3.16,"E","Estimated value"
"OECD","OECD - Total","JE_LTUR","Long-term unemployment rate","L","Value","HGH","High","PC","Percentage","0","units",,,1.76,"E","Estimated value"
"AUS","Australia","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,1.81,"E","Estimated value"
"AUT","Austria","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,2.39,"E","Estimated value"
"BEL","Belgium","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,7.36,"E","Estimated value"
"CAN","Canada","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,1.94,"E","Estimated value"
"CZE","Czech Republic","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,11.7,"E","Estimated value"
"DNK","Denmark","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,2.91,"E","Estimated value"
"FIN","Finland","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,3.77,"E","Estimated value"
"FRA","France","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,6.61,"E","Estimated value"
"DEU","Germany","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,5.48,"E","Estimated value"
"GRC","Greece","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,20.53,"E","Estimated value"
"HUN","Hungary","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,12.14,"E","Estimated value"
"ISL","Iceland","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,1.55,"E","Estimated value"
"IRL","Ireland","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,13.46,"E","Estimated value"
"ITA","Italy","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,9.21,"E","Estimated value"
"JPN","Japan","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,2.1,"E","Estimated value"
"KOR","Korea","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,0.01,"E","Estimated value"
"LUX","Luxembourg","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,3.13,"E","Estimated value"
"MEX","Mexico","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,0.07,"E","Estimated value"
"NLD","Netherlands","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,3.78,"E","Estimated value"
"NZL","New Zealand","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,1.15,"E","Estimated value"
"NOR","Norway","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,0.77,"E","Estimated value"
"POL","Poland","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,7.77,"E","Estimated value"
"PRT","Portugal","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,10.38,"E","Estimated value"
"SVK","Slovak Republic","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,28.73,"E","Estimated value"
"ESP","Spain","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,17.14,"E","Estimated value"
"SWE","Sweden","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,3.56,"E","Estimated value"
"CHE","Switzerland","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,3.62,"E","Estimated value"
"TUR","Turkey","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,2.33,"E","Estimated value"
"GBR","United Kingdom","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,3.58,"E","Estimated value"
"USA","United States","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,4.54,"E","Estimated value"
"BRA","Brazil","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,2.09,"E","Estimated value"
"CHL","Chile","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,1.86,"E","Estimated value"
"EST","Estonia","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,6.97,"E","Estimated value"
"ISR","Israel","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,1.43,"E","Estimated value"
"RUS","Russia","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,3.33,"E","Estimated value"
"SVN","Slovenia","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,9.6,"E","Estimated value"
"OECD","OECD - Total","JE_LTUR","Long-term unemployment rate","L","Value","LW","Low","PC","Percentage","0","units",,,4.65,"E","Estimated value"
"AUS","Australia","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,50449,,
"AUT","Austria","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,45199,,
"BEL","Belgium","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,48082,,
"CAN","Canada","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,46911,,
"CZE","Czech Republic","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,20338,,
"DNK","Denmark","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,48347,,
"FIN","Finland","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,40060,,
"FRA","France","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,40242,,
"DEU","Germany","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,43682,,
"GRC","Greece","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,25503,,
"HUN","Hungary","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,20948,,
"ISL","Iceland","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,55716,"E","Estimated value"
"IRL","Ireland","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,49506,,
"ITA","Italy","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,34561,,
"JPN","Japan","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,35405,,
"KOR","Korea","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,36354,,
"LUX","Luxembourg","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,56021,,
"MEX","Mexico","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,16193,"E","Estimated value"
"NLD","Netherlands","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,47590,,
"NZL","New Zealand","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,35609,,
"NOR","Norway","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,50282,,
"POL","Poland","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,22655,,
"PRT","Portugal","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,23688,,
"SVK","Slovak Republic","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,20307,,
"ESP","Spain","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,34824,,
"SWE","Sweden","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,40818,,
"CHE","Switzerland","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,54236,,
"TUR","Turkey","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,16919,"E","Estimated value"
"GBR","United Kingdom","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,41192,,
"USA","United States","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,56340,,
"BRA","Brazil","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,17177,"E","Estimated value"
"CHL","Chile","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,22101,"E","Estimated value"
"EST","Estonia","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,18944,,
"ISR","Israel","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,28817,,
"RUS","Russia","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,20885,"E","Estimated value"
"SVN","Slovenia","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,32037,,
"OECD","OECD - Total","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","units",,,36118,,
"AUS","Australia","JE_PEARN","Personal earnings","L","Value","MN","Men","USD","US Dollar","0","units",,,54780,,
